sample number	transect	station	date	time	depth	level	latitude	longitude	picoeuks	nanoeuks	phosphates	nitrates	temperature	salinity
10	1	81	2013-11-13T00:00:00Z	1899-12-31T01:00:00Z	140	Deep	-27.42	-44.72	3278	1232	0.2	0.26	17.3	35.9
11	1	85	2013-11-13T00:00:00Z	1899-12-31T13:30:00Z	110	Deep	-26.8	-45.3	16312	1615	0.29	0.22	21.3	36.5
120	2	96	2013-11-18T00:00:00Z	1899-12-31T23:50:00Z	5	Surf	-27.39	-47.82	1150	75	0.43	0.19	23.1	33.5
121	2	96	2013-11-18T00:00:00Z	1899-12-31T23:50:00Z	30	Deep	-27.39	-47.82	1737	218	0.43	0.23	22.6	33.7
122	2	96	2013-11-18T00:00:00Z	1899-12-31T23:50:00Z	50	Deep	-27.39	-47.82	853	234	0.56	0.21	20.3	35.9
125	2	98	2013-11-18T00:00:00Z	1899-12-31T05:00:00Z	5	Surf	-27.59	-47.39	3086	1300	0.29	0.25	23.1	35.7
126	2	98	2013-11-18T00:00:00Z	1899-12-31T05:00:00Z	50	Deep	-27.59	-47.39	1217	782	0.25	0.2	23.7	37.2
127	2	98	2013-11-18T00:00:00Z	1899-12-31T05:00:00Z	85	Deep	-27.59	-47.39	3420	226	0.25	0.47	22.9	37
13	1	86	2013-11-13T00:00:00Z	1899-12-31T17:00:00Z	105	Deep	-26.33	-45.41	6366	1007	0.34	0.15	20.9	36.3
140	2	101	2013-11-18T00:00:00Z	1899-12-31T12:00:00Z	5	Surf	-27.79	-46.96	500	366	0.29	0.14	23.5	36.5
141	2	101	2013-11-18T00:00:00Z	1899-12-31T12:00:00Z	60	Deep	-27.79	-46.96	1046	485	0.25	0.22	23.7	37.2
142	2	101	2013-11-18T00:00:00Z	1899-12-31T12:00:00Z	110	Deep	-27.79	-46.96	641	159	0.29	0.84	23.3	37.1
155	2	106	2013-11-19T00:00:00Z	1899-12-31T02:30:00Z	5	Surf	-28.12	-46.17	355	18	0.25	0.37	23	36.9
156	2	106	2013-11-19T00:00:00Z	1899-12-31T02:30:00Z	60	Deep	-28.12	-46.17	1800	300	0.25	0.34	22.9	36.9
157	2	106	2013-11-19T00:00:00Z	1899-12-31T02:30:00Z	100	Deep	-28.12	-46.17	6910	1152	0.29	0.4	21.5	36.7
15	1	87	2013-11-13T00:00:00Z	1899-12-31T19:30:00Z	105	Deep	-26.22	-45.48	6189	622	0.47	1.51	19.5	36.1
165	2	114	2013-11-19T00:00:00Z	1899-12-31T21:40:00Z	5	Surf	-28.65	-44.99	728	226	0.29	0.28	22.4	36.4
166	2	114	2013-11-19T00:00:00Z	1899-12-31T21:40:00Z	60	Deep	-28.65	-44.99	660	578	0.16	0.25	21.4	36.6
167	2	114	2013-11-19T00:00:00Z	1899-12-31T21:40:00Z	80	Deep	-28.65	-44.99	722	390	0.2	0.21	21	36.6
1	0	6	2013-10-31T00:00:00Z	1899-12-31T05:20:00Z	45	Deep	-23.58	-41.78	7651	4845	0.47	1.07	19.7	36.3
2	0	6	2013-10-31T00:00:00Z	1899-12-31T05:20:00Z	45	Deep	-23.58	-41.78	7343	3258	0.47	1.07	19.7	36.3
3	0	19	2013-11-02T00:00:00Z	1899-12-31T13:30:00Z	5	Surf	-25.79	-40.36	1005	898	0.29	0.48	22.7	36.9
5	0	21	2013-11-02T00:00:00Z	1899-12-31T00:00:00Z	5	Surf	-26.23	-40.09	793	660	0.16	0.9	22.8	36.9
7	0	26	2013-11-03T00:00:00Z	1899-12-31T19:30:00Z	5	Surf	-27.31	-39.38	907	856	0.2	0.5	21.2	36.4
9	1	81	2013-11-13T00:00:00Z	1899-12-31T01:00:00Z	140	Deep	-27.42	-44.72	3181	1235	0.2	0.26	17.3	35.9
Trichod.1	2	Bloom	NA	NA	NA	Surf	-27.8	-47.1	1002	194	NA	NA	NA	NA
Trichod.2	2	Bloom	NA	NA	NA	Surf	-27.8	-47.1	744	206	NA	NA	NA	NA
Trichod.3	2	Bloom	NA	NA	NA	Surf	-27.8	-47.1	600	218	NA	NA	NA	NA
